Subject,Predicate,Object
Claudio Fava,core:organization,Assemblea Regionale Siciliana
Claudio Fava,core:organization,Commissione Antimafia dell’ARS
Claudio Fava,rico:isAuthorOf,I cento passi
Letizia Battaglia,rdf:type,Person
Letizia Battaglia,dbo:birthName,Letizia Battaglia
Letizia Battaglia,dbo:sex,Female
Letizia Battaglia,dbo:birthPlace,Palermo
Letizia Battaglia,dbo:birthDate,1935-03-05
Letizia Battaglia,core:occupation,Photographer
Letizia Battaglia,core:occupation,Photojournalist
Letizia Battaglia,core:occupation,Politician
Letizia Battaglia,rico:isAuthorOf,"Cinisi, la madre di Giuseppe Impastato con la foto del figlio"
Tommaso Bonaventura,rdf:type,foaf:Person
Tommaso Bonaventura,dbo:birthName,Tommaso Bonaventura
Tommaso Bonaventura,dbo:sex,Male
Tommaso Bonaventura,dbo:birthPlace,Rome
Tommaso Bonaventura,dbo:birthDate,1969
Tommaso Bonaventura,core:occupation,Photographer
Tommaso Bonaventura,rico:isAuthorOf,"Cinisi, luogo del ritrovamento del corpo di Peppino Impastato"
Alessandro Imbriaco,rdf:type,foaf:Person
Alessandro Imbriaco,dbo:birthName,Alessandro Imbriaco
Alessandro Imbriaco,dbo:sex,Male
Alessandro Imbriaco,dbo:birthPlace,Salerno
Alessandro Imbriaco,dbo:birthDate,1980
Alessandro Imbriaco,core:occupation,Photographer
Alessandro Imbriaco,rico:isAuthorOf,"Cinisi, luogo del ritrovamento del corpo di Peppino Impastato"
Giovanni Russo Spena,rdf:type,Person
Giovanni Russo Spena,dbo:birthName,Giovanni Russo Spena
Giovanni Russo Spena,dbo:sex,Male
Giovanni Russo Spena,dbo:birthPlace,Acerra
Giovanni Russo Spena,dbo:birthDate,1945-11-10
Giovanni Russo Spena,core:occupation,"Politician, Scholar"
Giovanni Russo Spena,core:organization,Commissione Parlamentare Antimafia (1996-2001)
Giovanni Russo Spena,rico:isAuthorOf,Peppino Impastato: anatomia di un depistaggio
Marco Rizzo,rdf:type,Person
Marco Rizzo,dbo:birthName,Marco Rizzo
Marco Rizzo,dbo:sex,Male
Marco Rizzo,dbo:birthPlace,Erice
Marco Rizzo,dbo:birthDate,1983-10-24
Marco Rizzo,core:occupation,Cartoonist
Marco Rizzo,rico:isAuthorOf,"Peppino Impastato, un giullare contro la mafia"
Lelio Bonaccorso,rdf:type,Person
Lelio Bonaccorso,dbo:birthName,Lelio Bonaccorso
Lelio Bonaccorso,dbo:sex,Male
Lelio Bonaccorso,dbo:birthPlace,Messina
Lelio Bonaccorso,dbo:birthDate,1982-08-02
Lelio Bonaccorso,core:occupation,Cartoonist
Lelio Bonaccorso,core:occupation,Illustrator
Lelio Bonaccorso,core:occupation,Teacher
Lelio Bonaccorso,rico:isAuthorOf,"Peppino Impastato, un giullare contro la mafia"
Lirio Abbate,rdf:type,Person
Lirio Abbate,dbo:birthName,Lirio Abbate
Lirio Abbate,dbo:sex,Male
Lirio Abbate,dbo:birthPlace,Castelbuono
Lirio Abbate,dbo:birthDate,1971-02-26
Lirio Abbate,core:occupation,Journalist
Lirio Abbate,rico:isAuthorOf,"Delitto Impastato, ergastolo a Badalamenti"
